latent_index,spearman,p_value
600,-0.17160070448373932,0.08779972612703323
601,,
602,,
603,-0.006960758722982746,0.9452019348754812
604,0.5290116622926171,1.5305013373850943e-08
605,,
606,,
607,,
608,-0.01801996417682516,0.8587634064753326
609,,
610,,
611,,
612,,
613,-0.38326777620313013,8.288828155633544e-05
614,0.33461447299110936,0.0006671894768961575
615,-0.03137141948599465,0.7566778362645326
616,,
617,,
618,,
619,,
620,0.29630629739841813,0.00275946515641189
621,,
622,0.300863217139854,0.002353185284115967
623,,
624,,
625,0.33114009428368957,0.000764773333847
626,0.5272834739200145,1.7379555951504768e-08
627,-0.24372256576954068,0.014543494477147343
628,,
629,-0.010045094915752686,0.9209870005914635
630,,
631,,
632,,
633,,
634,-0.1891046124104123,0.05952300324955335
635,,
636,,
637,,
638,,
639,,
640,,
641,-0.21679763095055488,0.030268654205921574
642,,
643,0.49512596875064857,1.6337820370948538e-07
644,,
645,,
646,,
647,0.05911244325870951,0.5590832408321398
648,,
649,,
650,-0.03806214877575824,0.7069373994516478
651,,
652,,
653,0.49827631213820545,1.3250268282599775e-07
654,,
655,-0.41022271429247364,2.2473743139421856e-05
656,,
657,-0.03239153067815592,0.7490237787753057
658,,
659,,
660,0.35955919196648806,0.00023873056379298096
661,0.40983867243189526,2.2913905174011153e-05
662,0.21212312142882764,0.03411272334351866
663,-0.09610647560973419,0.34151002848736767
664,-0.2512278107971503,0.011693288055473552
665,,
666,,
667,-0.004200457850075795,0.96691590442575
668,,
669,,
670,,
671,,
672,,
673,-0.22774282397703804,0.022677212132402164
674,,
675,,
676,,
677,,
678,0.016081752911718757,0.873821794137013
679,,
680,0.45106316590335344,2.480786702235325e-06
681,,
682,0.33963101979491417,0.0005462951496160837
683,0.24245642776044643,0.015079529743359044
684,,
685,,
686,,
687,,
688,0.002478270131544719,0.9804767915605862
689,0.17391695695535253,0.08353775826029602
690,,
691,,
692,,
693,-0.07847055329348739,0.43772682275180375
694,,
695,,
696,0.07971868934036705,0.4304509711544888
697,,
698,,
699,,
700,-0.09590845402537347,0.34251030219168477
701,0.4286867268705925,8.595947735208486e-06
702,,
703,-0.32356726884541,0.001024175715597803
704,,
705,,
706,,
707,,
708,-0.023762590123285923,0.8144637245443734
709,,
710,0.20524637186284642,0.04050880234170729
711,,
712,0.5266114006640024,1.825677363860905e-08
713,0.46044218821716554,1.434677429050024e-06
714,,
715,,
716,0.40191180840339513,3.401607848093342e-05
717,0.3721485642085723,0.000137519615072066
718,,
719,-0.2032421534029531,0.042551209339543
720,0.42140193282774685,1.2644410803346469e-05
721,,
722,,
723,,
724,,
725,,
726,,
727,,
728,0.20445428552540354,0.041305982601854016
729,,
730,,
731,,
732,,
733,,
734,0.26293065945253014,0.008219352563048364
735,,
736,,
737,,
738,,
739,-0.20430426917361513,0.04145842762783301
740,,
741,,
742,,
743,,
744,,
745,0.5787150799671569,2.8550722637025764e-10
746,,
747,,
748,,
749,,
750,,
751,,
752,0.09817070061034286,0.33119274393396425
753,,
754,,
755,,
756,,
757,,
758,,
759,,
760,,
761,,
762,-0.41661110489113945,1.6219165035542224e-05
763,,
764,,
765,,
766,0.44779280943436583,2.9913950817985624e-06
767,0.46568675987568875,1.0486993167897319e-06
768,,
769,0.457909912198977,1.6659636670570185e-06
770,,
771,0.0472071455807804,0.6409317074983836
772,-0.32241514326367493,0.0010700143309951935
773,,
774,,
775,,
776,,
777,,
778,,
779,,
780,,
781,,
782,0.03660999049044632,0.7176372221817298
783,,
784,,
785,,
786,,
787,,
788,,
789,,
790,-0.14676399728164827,0.14509131429027333
791,,
792,,
793,-0.22958502477699988,0.02157493126754392
794,0.4807063970167455,4.150726651548774e-07
795,,
796,0.5034848798722994,9.32826857280815e-08
797,-0.5317378242877338,1.2506013553326012e-08
798,,
799,,
800,,
801,,
802,,
803,,
804,,
805,,
806,,
807,,
808,,
809,,
810,0.2634287137404677,0.008094209317980126
811,,
812,0.27684617624442415,0.005297311611814519
813,,
814,0.44600461452104784,3.3110418708383722e-06
815,,
816,,
817,,
